t,class_label,O,R,I,demand,S,amplitude_uV,spectral_entropy,alpha_beta_ratio,gamma_power
213,C,0.12117432173564396,0.6803769747374567,0.464072583443203,0.3463543606166679,0.0,72.35,0.6595,1.2631,0.3715
214,C,0.10959148215797217,0.6080832083127763,0.29296486480234996,0.43587547478960303,0.0,70.01,0.6236,0.9672,0.4316
215,C,0.17111913000004952,0.4079160667358055,0.475059560983508,0.5225664705444255,0.0,82.44,0.5242,1.2821,0.4898
216,C,0.12265930116867887,0.521491788918312,0.36565239516110376,0.41368138824756095,0.0,72.65,0.5806,1.0929,0.4167
217,C,0.1981457556812839,0.7629408862531086,0.32552101404020084,0.32937365010799136,0.0,87.9,0.7005,1.0235,0.3601
218,C,0.07711993188894338,0.4870565965544669,0.3379536465200194,0.5224175169434722,0.0,63.45,0.5635,1.045,0.4897
219,C,0.12830222301421132,0.5831126594641399,0.3393993014595333,0.4772845758546213,0.0,73.79,0.6112,1.0475,0.4594
220,C,0.3091232186434218,0.5071941359485284,0.2984005273749219,0.4665599165859835,0.0,110.32,0.5735,0.9766,0.4522
221,C,0.19953173648544975,0.7464281039499783,0.39150070547961047,0.36199448871676476,0.0,88.18,0.6923,1.1376,0.382
222,C,0.19413631121208977,0.6721205835858916,0.41202900562070643,0.4266403515304983,0.0,87.09,0.6554,1.1731,0.4254
223,C,0.22240041975418645,0.6783632207980506,0.4607186639835311,0.4370671035972295,8.434607362705545e-07,92.8,0.6585,1.2573,0.4324
224,C,0.1490919350766992,0.575259019100456,0.445510374019846,0.3280330676994117,0.0,77.99,0.6073,1.231,0.3592
225,C,0.1809199942580796,0.5208876627364902,0.34333148289501075,0.48398748789751994,0.0,84.42,0.5803,1.0543,0.4639
226,C,0.17037664028353214,0.5651902494034252,0.22287951333472114,0.44436583004394137,0.0,82.29,0.6023,0.846,0.4373
227,C,0.19740326596476643,0.7784467915865361,0.3141292531168321,0.4051910329932226,0.00018319163895850183,87.75,0.7082,1.0038,0.411
228,C,0.17384159229394675,0.7194438011619358,0.33257581014502813,0.40965964102182173,0.0002189383082575895,82.99,0.6789,1.0357,0.414
229,C,0.1951262975007797,0.5792865269792682,0.3021014040200772,0.40325463618082974,0.0006001022314577724,87.29,0.6093,0.983,0.4097
230,C,0.2227964142696624,0.45725303825125596,0.3523523697175769,0.3366723765547032,0.001430308584729379,92.88,0.5487,1.0699,0.365
231,C,0.2300233141770987,0.4071105651600431,0.2923866028265445,0.4169583674685336,0.0023777961451394818,94.34,0.5238,0.9662,0.4189
232,C,0.252050509100449,0.553913227342751,0.2926757338144472,0.5289714753854174,0.0036827503985402727,98.79,0.5967,0.9667,0.4941
233,C,0.07301148879088026,0.33924705740205596,0.37901024680221135,0.35141878304908025,0.002082183239475285,62.62,0.4901,1.116,0.3749
234,C,0.09840463709577625,0.6318455047977686,0.362009344713529,0.3468012214195279,0.0008937068972737033,67.75,0.6354,1.0866,0.3718
235,C,0.08301035030664829,0.6483582871008989,0.3972254990400851,0.3813584568406942,0.0,64.64,0.6436,1.1475,0.395
236,C,0.26873177806487386,0.45282277958456246,0.2085386163347443,0.33726819095851646,0.001031070502894807,102.16,0.5465,0.8212,0.3654
237,C,0.1563188349841355,0.5851264134035461,0.31991187287488726,0.4150219706561407,0.0007824504096799565,79.45,0.6122,1.0138,0.4176
238,C,0.08469332699742113,0.7059516497679148,0.33373233409663916,0.4720711998212558,0.0,64.98,0.6722,1.0377,0.4559
239,C,0.17938551551061022,0.6064722051612513,0.3902863553304189,0.4221717435018992,0.0,84.11,0.6228,1.1355,0.4224
240,C,0.19720526870702842,0.6944732523132997,0.3579036846853098,0.4416846652267819,0.0,87.71,0.6665,1.0795,0.4355
241,C,0.15369537131910727,0.7055488989800336,0.28215136585478684,0.5228643777463321,0.0,78.92,0.672,0.9485,0.49
242,C,0.15666533018517695,0.41657520867525183,0.35194758633451295,0.338012958963283,0.0,79.52,0.5285,1.0692,0.3659
243,C,0.2089861055424383,0.49491023691815095,0.3021592302176577,0.2480449839874879,0.0,90.09,0.5674,0.9831,0.3055
244,C,0.13216316954010188,0.3164916378867666,0.20344991094765572,0.4454085052506145,0.0,74.57,0.4788,0.8124,0.438
245,C,0.20571915078976163,0.603451574252142,0.2569969699072468,0.38523125046548007,0.0,89.43,0.6213,0.905,0.3976
246,C,0.15884330002029473,0.4439622622511755,0.47124303194319156,0.4541967677068594,0.0,79.96,0.5421,1.2755,0.4439
247,C,0.1459239789528915,0.563176495464019,0.35894455624175975,0.23672451031503688,0.0,77.35,0.6013,1.0813,0.2979
248,C,0.1443400008909877,0.49188960600904164,0.25399000763305807,0.36780367915394363,0.0,77.03,0.5659,0.8998,0.3859
249,C,0.26581131851323864,0.6249987414037879,0.291287905072514,0.431406866761004,0.0003567035618483368,101.57,0.632,0.9643,0.4286
250,C,0.24215064621355004,0.653594047343355,0.3459914879837161,0.34069412378044245,0.0015009986273881255,96.79,0.6462,1.0589,0.3677
251,C,0.2005217227741396,0.6002295679490923,0.41850553974972815,0.43617338199150973,0.0019697218079725133,88.38,0.6197,1.1843,0.4318
252,C,0.22136093415106206,0.5065900097667067,0.4551095228182176,0.4035525433827363,0.002776632579004269,92.59,0.5732,1.2476,0.4099
253,C,0.28229459021992553,0.49108410443327927,0.49142437489880414,0.4035525433827363,0.004572400651320367,104.9,0.5655,1.3104,0.4099
254,C,0.1203328333902576,0.5118257700091625,0.31303055536280155,0.4203843002904596,0.003739784410230852,72.18,0.5758,1.0019,0.4212
255,C,0.19007736742846115,0.5027638772818349,0.3387053870885666,0.5483354435093469,0.004039012147621935,86.27,0.5713,1.0463,0.5071
256,C,0.2616533761007411,0.6044584512218452,0.3441410496611385,0.3977433529455575,0.005499805813247862,100.73,0.6218,1.0557,0.406
257,C,0.1954727927018211,0.45765578903913734,0.31852404413295404,0.26457883369330454,0.005886592808023151,87.36,0.5489,1.0114,0.3166
258,C,0.1827514688921559,0.6258042429795502,0.2989209631531469,0.5060326208386089,0.0060669327463971166,84.79,0.6324,0.9775,0.4787
259,C,0.08622780574489049,0.4131518269782616,0.3603323849836931,0.46685782378789015,0.004680845603126514,65.29,0.5268,1.0837,0.4524
260,C,0.25907941175014726,0.5144436501303904,0.43440774408438,0.3859760184702466,0.0060998678799086044,100.21,0.5771,1.2118,0.3981
261,C,0.1487949391900923,0.6495665394645428,0.3973989776328267,0.27143069933715647,0.005729146803919393,77.93,0.6442,1.1478,0.3212
262,C,0.24675408245595803,0.6995076371618152,0.28660398306848933,0.41829894987711336,0.006948148391814553,97.72,0.669,0.9562,0.4198
263,C,0.18839439073768835,0.5867374165550711,0.29313834339509176,0.3387577269680495,0.007220064067269255,85.93,0.613,0.9675,0.3664
264,C,0.1575068185305634,0.6785645961919912,0.38797330742719677,0.36124972071199823,0.006990723076597725,79.69,0.6586,1.1315,0.3815
265,C,0.20487766244437522,0.27380005437135635,0.4404794948303379,0.25921650405898566,0.007530136299840953,89.26,0.4576,1.2223,0.313
266,C,0.1375090954990274,0.4477883947360472,0.22854648069761524,0.47519922544127513,0.006976263749690223,75.65,0.544,0.8558,0.458
267,C,0.131272181880281,0.5953965584945174,0.3367971225684084,0.42440604751619876,0.006321175911187073,74.39,0.6173,1.043,0.4239
268,C,0.1635952342060063,0.43147698782685745,0.42723729558439155,0.3520145974528935,0.006190640321050006,80.92,0.5359,1.1994,0.3753
269,C,0.0665765779143959,0.5174642810394997,0.47101172715286926,0.4521114172935131,0.004485644689875403,61.32,0.5786,1.2751,0.4425
270,C,0.13835058384441376,0.5253179214031837,0.312972729165221,0.5434199746778879,0.003945428170692887,75.82,0.5825,1.0018,0.5038
271,C,0.1817119832890315,0.6038543250400233,0.4301864316609996,0.4065316154018024,0.004108898894341442,84.58,0.6215,1.2045,0.4119
272,C,0.14364701048890477,0.5408238267366109,0.3346575532579279,0.3859760184702466,0.003654635040664509,76.89,0.5902,1.0393,0.3981
273,C,0.20225419877934697,0.5657943755852473,0.4043959475400735,0.38284799285022725,0.004151473579124566,88.73,0.6026,1.1599,0.396
274,C,0.16369423283487528,0.3593845967961174,0.42029815187472536,0.4145751098532808,0.004022544580866121,80.94,0.5001,1.1874,0.4173
275,C,0.21834147597055786,0.2689670449167816,0.5220144334189161,0.37837938482162814,0.004780454299600265,91.98,0.4552,1.3633,0.393
276,C,0.22487538547591118,0.45584341049367183,0.39398723197557417,0.31030758918596857,0.005644399082322693,93.3,0.548,1.1419,0.3473
277,C,0.12196631076659593,0.7532748673439591,0.32430666389100926,0.4050420793922693,0.004838291607230225,72.51,0.6957,1.0214,0.4109
278,C,0.2107185815476456,0.6104997130400636,0.35391367705225174,0.4159156922618605,0.005472493751311433,90.44,0.6248,1.0726,0.4182
279,C,0.3017973201071166,0.5547187289185133,0.35830846806837374,0.46700677738884344,0.0075847604237136235,108.84,0.5971,1.0802,0.4525
280,C,0.2247268875326077,0.6801755993435161,0.3962424536812157,0.30360467714306993,0.008446295318618095,93.27,0.6594,1.1458,0.3428
281,C,0.25605995356964306,0.4451705146148191,0.3670980501006175,0.33265062932896405,0.009816316543102575,99.6,0.5427,1.0954,0.3623
282,C,0.15522985006657664,0.5935841799490519,0.3687171836328731,0.42023534668950624,0.009550023939223025,79.23,0.6164,1.0982,0.4211
283,C,0.2548719700232152,0.6062708297673107,0.3196805680845651,0.4606017725478514,0.010900766061164184,99.36,0.6227,1.0134,0.4482
284,C,0.2296768189760572,0.4369141234632539,0.3926572294312215,0.44108885082296867,0.011842630549999181,94.27,0.5386,1.1396,0.4351
285,C,0.141370042024918,0.6991048863739338,0.3278340619434229,0.3981902137484174,0.01135141508311423,76.43,0.6688,1.0275,0.4063
286,C,0.14874543987565778,0.5621696184943161,0.24577868757661972,0.28155954420198115,0.010979890711185731,77.92,0.6008,0.8856,0.328
287,C,0.25373348579122185,0.4753768237059113,0.2548574005967663,0.22838310866165193,0.012312157026522904,99.13,0.5577,0.9013,0.2923
288,C,0.12107532310677499,0.42724810455410456,0.4832708810399463,0.4640277053697774,0.011491590224522981,72.33,0.5338,1.2963,0.4505
289,C,0.11815486355513977,0.787307308919923,0.4260229454352,0.36467565353392417,0.010623628962104068,71.74,0.7126,1.1973,0.3838
290,C,0.010592853288981952,0.7911334414047947,0.22033516064117686,0.2662173233037909,0.0080101056235756,50.01,0.7145,0.8416,0.3177
291,C,0.2197769560891582,0.8062365959503407,0.46089214257627276,0.4308110523571908,0.008791310924549595,92.27,0.722,1.2576,0.4282
292,C,0.19438380778426223,0.6465459085554336,0.40665116924571504,0.4098085946227751,0.009160425408660185,87.14,0.6427,1.1638,0.4141
293,C,0.16522871158234462,0.5543159781306322,0.2754435269354428,0.3679526327548969,0.009056398584520212,81.25,0.5969,0.9369,0.386
294,C,0.058458690347138714,0.550691221039701,0.2550887053870885,0.306583749162136,0.007219662419299564,59.68,0.5951,0.9017,0.3448
295,C,0.16973314919588367,0.7007158895254587,0.42047163046746694,0.2718775601400164,0.007188735525636342,82.16,0.6696,1.1877,0.3215
296,C,0.1002361117298526,0.65520505049488,0.25560914116531347,0.37212333358158933,0.006029981133189051,68.12,0.647,0.9026,0.3888
297,C,0.19171084480479947,0.4630929246755338,0.3499814956167743,0.28945408505250614,0.006355717636577183,86.6,0.5516,1.0658,0.3333
298,C,0.12330279225632729,0.5927786783732895,0.20269817037910856,0.42157592909808594,0.005571299151845944,72.78,0.616,0.8111,0.422
299,C,0.15785331373160488,0.6161382240704009,0.3602745587861124,0.49039249273851204,0.005347581232749519,79.76,0.6276,1.0836,0.4682
300,D,0.2654648233121972,0.3575722182506519,0.2357747553951842,0.5782751173009608,0.006870228685701938,101.5,0.4992,0.8683,0.5272
301,D,0.26096038569865815,0.4143600793419051,0.1643015751856221,0.48845609592611905,0.008319776208177606,100.59,0.5274,0.7447,0.4669
302,D,0.1747325799537677,0.6209712335249755,0.1172888765526334,0.48622179191181947,0.00836998220438415,83.17,0.63,0.6634,0.4654
303,D,0.21537151710448812,0.5176656564334403,0.19963338190733926,0.6307067848365235,0.009079694166760017,91.38,0.5787,0.8058,0.5624
304,D,0.2180444800839509,0.44315676067541293,0.15273633566951172,0.6975869516645565,0.009832784109858342,91.92,0.5417,0.7247,0.6073
305,D,0.18750340307786742,0.4469828931602846,0.2801852751370481,0.5685931332389962,0.010090240458405541,85.75,0.5436,0.9451,0.5207
306,D,0.247051078342565,0.39381978915996246,0.22900909027825966,0.526737171371118,0.01131406182193652,97.78,0.5172,0.8566,0.4926
307,D,0.3153106329477337,0.676550842252585,0.17684986006060183,0.4357265211886498,0.01364562828576896,111.57,0.6576,0.7664,0.4315
308,D,0.25279299881696643,0.7212561797074014,0.15545416695579767,0.6599016906233709,0.014962631978259344,98.94,0.6798,0.7294,0.582
309,D,0.3576820461036615,0.3426704390990465,0.274518307774154,0.6590079690176511,0.01798181976613678,120.13,0.4918,0.9353,0.5814
310,D,0.23551773807932766,0.3849592718265755,0.17471029075012146,0.4622402621583377,0.019018473175809753,95.45,0.5128,0.7627,0.4493
311,D,0.2194799602025512,0.2617175307349195,0.22814169731455136,0.4804126014746407,0.01979485870114793,92.21,0.4516,0.8551,0.4615
312,D,0.27194923350311606,0.22144245194679654,0.2538743552378969,0.5998733894391897,0.021422737922149302,102.81,0.4316,0.8996,0.5417
313,D,0.13963756601971064,0.454635158130028,0.3317084171813198,0.447642809264914,0.02090340709738868,76.08,0.5474,1.0342,0.4395
314,D,0.35738505021705447,0.46007229376642467,0.16401244419771932,0.5335890370149698,0.023917775109630248,120.07,0.5501,0.7442,0.4972
315,D,0.29120446681813467,0.4187903380085986,0.27191612888302913,0.469241081403143,0.025858136451021224,106.7,0.5296,0.9308,0.454
316,D,0.2680882869772254,0.23876073582568938,0.2155355862419911,0.4704327102107694,0.027423358588756816,102.03,0.4402,0.8333,0.4548
317,D,0.21433203150136376,0.5589476121912662,0.3198540466773067,0.5831905861324198,0.02811620133640727,91.17,0.5992,1.0137,0.5305
318,D,0.19314632492339986,0.3712657450386137,0.3304362408345477,0.5483354435093469,0.028465233422035253,86.89,0.506,1.032,0.5071
319,D,0.39579651821822276,0.45705166285731536,0.24184650614114217,0.5146719296939004,0.03210295908317742,127.83,0.5486,0.8788,0.4845
320,D,0.2659598164565421,0.39120190903873453,0.28660398306848933,0.6089595590973412,0.03363363949552289,101.6,0.5159,0.9562,0.5478
321,D,0.21136207263529402,0.24862813012877952,0.06593921310110333,0.5755939524838013,0.034278284486815074,90.57,0.4451,0.5746,0.5254
322,D,0.19250283383575145,0.14935006091605663,0.258905234427405,0.7233559246294781,0.03461687372523209,86.76,0.3958,0.9083,0.6246
323,D,0.25769343094598146,0.5108188930394595,0.23230518354035107,0.5304610113949505,0.03601340371571361,99.93,0.5753,0.8623,0.4951
324,D,0.312637669968271,0.3744877513416636,0.24838086646774454,0.5617412675951442,0.03830159219882359,111.03,0.5076,0.8901,0.5161
325,D,0.21834147597055786,0.529345429281996,0.2100420974718386,0.4814552766813138,0.039059501917557735,91.98,0.5845,0.8238,0.4622
326,D,0.28991748464283773,0.3009857325533393,0.2276212615363264,0.5370149698368959,0.04097897756452677,106.44,0.4711,0.8542,0.4995
327,D,0.32253753285517,0.4669190571604055,0.22299516572988223,0.5986817606315634,0.04342782523549771,113.03,0.5535,0.8462,0.5409
328,D,0.3406047826237607,0.47698782685743624,0.22611778039923208,0.4400461756162956,0.04616987592431493,116.68,0.5585,0.8516,0.4344
329,D,0.19477980229973818,0.37267537279619806,0.17233941664931884,0.5239070529530052,0.046545416775939964,87.22,0.5067,0.7586,0.4907
330,D,0.26140587952856864,0.4735644451604457,0.21906298429440474,0.573955462873315,0.04800219396186936,100.68,0.5568,0.8394,0.5243
331,D,0.261851373358479,0.17089722806770233,0.1437154488469456,0.5270350785730246,0.049466200811252525,100.77,0.4065,0.7091,0.4928
332,D,0.18616692158813605,0.4820222117059517,0.35796151088289035,0.6284724808222238,0.0497019681694385,85.48,0.561,1.0796,0.5609
333,D,0.24536810165179215,0.5895566720702395,0.2380878032984063,0.5125865792805542,0.05089847747103314,97.44,0.6144,0.8723,0.4831
334,D,0.22160843072323452,0.37307812358407927,0.191537714246062,0.550420793922693,0.05170940472176143,92.64,0.5069,0.7918,0.5085
335,D,0.2675932938328805,0.40992982067521166,0.2630687206532047,0.6263871304088777,0.05326659390010396,101.93,0.5252,0.9155,0.5595
336,D,0.31441964528791283,0.23010159388624302,0.0036603983068489356,0.6073210694868548,0.05558370103702889,111.39,0.4359,0.4669,0.5467
337,D,0.17686105047445094,0.38234139170534737,0.12370758448407465,0.4035525433827363,0.05566844875862555,83.6,0.5115,0.6745,0.4099
338,D,0.2902144805294447,0.50115287413031,0.17517290033076582,0.3447158710061816,0.0575927441812304,106.5,0.5705,0.7635,0.3704
339,D,0.22561787519242865,0.45685028746337475,0.09693405500427912,0.5514634691293663,0.058468738403042377,93.45,0.5485,0.6282,0.5092
340,D,0.257148938487202,0.47960570697866417,0.235543450604862,0.46521933417740374,0.05985643213819155,99.82,0.5598,0.8679,0.4513
341,D,0.3291209416749579,0.39039640746297194,0.2228216871371406,0.46819840619646985,0.062412118169090064,114.36,0.5155,0.8459,0.4533
342,D,0.23170629086787156,0.3025967357048642,0.21021557606458033,0.6652640202576898,0.06338691779143654,94.68,0.4719,0.8241,0.5856
343,D,0.17656405458784402,0.21459568855281574,0.35281497929822125,0.5221196097415656,0.06346684573739737,83.54,0.4282,1.0707,0.4895
344,D,0.21829197665612335,0.5351853157062738,0.1726863738348021,0.6737543755120282,0.06422395216019224,91.97,0.5874,0.7592,0.5913
345,D,0.29833236809670194,0.35052407946273034,0.41231813660860916,0.49262679675281157,0.06627998811684309,108.14,0.4957,1.1736,0.4697
346,D,0.30214381530815804,0.4457746407966411,0.33812712511276105,0.654092500186192,0.06839787786082042,108.91,0.543,1.0453,0.5781
347,D,0.2599209000955337,0.3185053918261727,0.265092637568524,0.4872644671184927,0.06983055616857069,100.38,0.4798,0.919,0.4661
348,D,0.377630269820763,0.4260398521904608,0.1935038049638008,0.5514634691293663,0.07317347221998799,124.16,0.5332,0.7952,0.5092
349,D,0.17799953470644436,0.2921252152199522,0.3293375430805172,0.488902956728979,0.07327669574818867,83.83,0.4667,1.0301,0.4672
350,D,0.19586878721729709,0.4743699467362083,0.3280653667337451,0.5912340805838983,0.0736699091104784,87.44,0.5572,1.0279,0.5359
351,D,0.3171916068962446,0.31810264103829156,0.10184928179862608,0.6496238921575929,0.07603200082000441,111.95,0.4796,0.6367,0.5751
352,D,0.2388836914608733,0.3793207607962383,0.34038234681840257,0.5791688389066807,0.07712327835355011,96.13,0.51,1.0492,0.5278
353,D,0.28511605114269173,0.6711137066161885,0.16939028057271063,0.606874208683995,0.07896483429440658,105.47,0.6549,0.7535,0.5464
354,D,0.26140587952856864,0.4419485083117694,0.3577880322901487,0.5755939524838013,0.08042161148033597,100.68,0.5411,1.0793,0.5254
355,D,0.2900164832717067,0.5392128235850862,0.19356163116138134,0.47519922544127513,0.08234269371918364,106.46,0.5894,0.7953,0.458
356,D,0.19596778584616603,0.17190410503740539,0.40352855457636533,0.45553735011543905,0.08273751367335198,87.46,0.407,1.1584,0.4448
357,D,0.24487310850744723,0.37609875449318836,0.25185043832257764,0.59853280703061,0.08392599001555356,97.34,0.5084,0.8961,0.5408
358,D,0.30917271795785634,0.33904568200811536,0.21067818564522467,0.5587621955760781,0.0861579477829122,110.33,0.49,0.8249,0.5141
359,D,0.24328913044554337,0.6036529496460826,0.2677526426572294,0.5924257093915245,0.08732071865505603,97.02,0.6214,0.9236,0.5367
360,D,0.2973918811224465,0.5512953472215231,0.24092128697985332,0.44123780442392196,0.08936149198886009,107.95,0.5954,0.8772,0.4352
361,D,0.28179959707558055,0.3307892908565502,0.1793363865565656,0.5814031429209802,0.09114922710178312,104.8,0.4859,0.7707,0.5293
362,D,0.33159590739668265,0.4121449500085584,0.25196609071773873,0.6645192522529232,0.09374507792964686,114.86,0.5263,0.8963,0.5851
363,D,0.272345228018592,0.7238740598286295,0.2742291767862512,0.4066805690027557,0.09537938351816266,102.89,0.6811,0.9348,0.412
364,D,0.30278730639580653,0.4556420350997312,0.3370862535563112,0.5879571013629254,0.09750771610935097,109.04,0.5479,1.0435,0.5337
365,D,0.24982303995089675,0.2615161553409789,0.20703513519764993,0.4744544574365086,0.09877652204548303,98.34,0.4515,0.8186,0.4575
366,D,0.22353890398617984,0.4806125839483673,0.37004718617722576,0.5671035972294631,0.09961877783784419,93.03,0.5603,1.1005,0.5197
367,D,0.1870084099335225,0.46329430006947436,0.32899058589503394,0.4923288895509049,0.09986820122699837,85.65,0.5517,1.0295,0.4695
368,D,0.2500705365230692,0.411339448432796,0.15713112668563362,0.5860207045505326,0.10114102364282695,98.39,0.5259,0.7323,0.5324
369,D,0.2508625255540211,0.4602736691603653,0.14822589225822866,0.505138899232889,0.10242669879368443,98.55,0.5502,0.7169,0.4781
370,D,0.3009558317617302,0.3644189816446329,0.3749624129715726,0.5079690176510018,0.10452530943511845,108.67,0.5026,1.109,0.48
371,D,0.2714047410443366,0.5222972904940744,0.1021384127865288,0.4066805690027557,0.10614435240078747,102.7,0.581,0.6372,0.412
372,D,0.1674066814174624,0.5621696184943161,0.17731246964124625,0.728271393460937,0.1060756705979769,81.69,0.6008,0.7672,0.6279
373,D,0.22452889027486977,0.43187973861473866,0.35894455624175975,0.6871601995978253,0.10693399230912418,93.23,0.5361,1.0813,0.6003
374,D,0.38050123005796377,0.5555242304942759,0.314013600721671,0.58185000372384,0.11032349952502113,124.74,0.5975,1.0036,0.5296
375,D,0.30427228582884136,0.34287181449298704,0.15423981680660603,0.5374618306397558,0.11247593099438859,109.34,0.4919,0.7273,0.4998
376,D,0.24794206600238589,0.35475296273548335,0.28562093770961994,0.6089595590973412,0.11371421168482707,97.96,0.4978,0.9545,0.5478
377,D,0.2632868534770794,0.5881470443126554,0.12613628478245784,0.523311238549192,0.11520151411645008,101.06,0.6137,0.6787,0.4903
378,D,0.21547051573335718,0.18398662867384227,0.2180221127379548,0.5286735681835109,0.11591283267070457,91.4,0.413,0.8376,0.4939
379,D,0.3479306811600659,0.48564696879688257,0.13637152175421555,0.6758397259253743,0.11877377115853892,118.16,0.5628,0.6964,0.5927
380,D,0.3305564217935582,0.4798070823726047,0.20553165406055554,0.4662620093840769,0.12135275277167727,114.65,0.5599,0.816,0.452
381,D,0.2359137325948036,0.5410252021305517,0.3886672217981635,0.6527519177776124,0.12239583254886469,95.53,0.5903,1.1327,0.5772
382,D,0.22898382857397429,0.2742028051592375,0.23739388892743968,0.4060847545989425,0.12332645089454938,94.13,0.4578,0.8711,0.4116
383,D,0.277245660147607,0.39160465982661574,0.18477204912913747,0.41904371788187983,0.1250402827810564,103.88,0.5161,0.7801,0.4203
384,D,0.2885315038386719,0.3450869438263338,0.12370758448407465,0.3238623668727192,0.12693726614172485,106.16,0.493,0.6745,0.3564
385,D,0.2564064487706846,0.6235891136462034,0.36929544560867855,0.5036493632233561,0.12831291043778448,99.67,0.6313,1.0992,0.4771
386,D,0.22225192181088294,0.4661135555846431,0.13856891726227652,0.5602517315856111,0.12913428053572373,92.77,0.5531,0.7002,0.5151
387,D,0.3035297961123239,0.5577393598276227,0.21651863160086043,0.5225664705444255,0.1312746625660016,109.19,0.5986,0.835,0.4898
388,D,0.20586764873306507,0.30964487449278566,0.20553165406055554,0.5651672004170701,0.13183014170803095,89.46,0.4754,0.816,0.5184
389,D,0.3122911747672295,0.3124641300079543,0.35466541762079895,0.5175020481120132,0.13411270711956577,110.96,0.4768,1.0739,0.4864
390,D,0.25675294397172604,0.3193108934019352,0.014936506835056564,0.6035972294630224,0.13549397448720052,99.74,0.4802,0.4864,0.5442
391,D,0.3017973201071166,0.3754946283113666,0.2309751809959984,0.5761897668876147,0.1376062411596027,108.84,0.5081,0.86,0.5258
392,D,0.16522871158234462,0.3456910700081557,0.29406356255638044,0.44436583004394137,0.13750221433546272,81.25,0.4933,0.9691,0.4373
393,D,0.2754636848279652,0.2456074992196703,0.26567089954432954,0.5350785730245029,0.13918712756815474,103.52,0.4436,0.92,0.4982
394,D,0.16211025477297145,0.5502884702518198,0.16146809150417504,0.47743352945557466,0.13903249309983853,80.62,0.5949,0.7398,0.4595
395,D,0.2699692609257362,0.5482747163124136,0.13706543612518216,0.5423772994712148,0.1406282404832677,102.41,0.5939,0.6976,0.5031
396,D,0.2835320730807879,0.493299233766626,0.24051650359678944,0.5103522752662546,0.1424440909540664,105.15,0.5666,0.8765,0.4816
397,D,0.20888710691356926,0.41999859037224235,0.1322080355284158,0.3201385268488866,0.1430485711483933,90.07,0.5302,0.6892,0.3539
398,D,0.2839775669106983,0.5186725334031435,0.02025651701246733,0.46253816936024433,0.14487165128264576,105.24,0.5792,0.4956,0.4495
399,D,0.2948179167718528,0.6580243060100485,0.22698517336294033,0.4835406270946601,0.14687065322760598,107.43,0.6484,0.8531,0.4636
400,E,0.8405478584121612,0.2786330638259311,0.0,0.8149623892157596,0.15772599290340256,217.68,0.46,0.4531,0.6861
401,E,0.7811981804052015,0.0,0.06235398885110912,1.0,0.16761818074797258,205.69,0.2737,0.5684,0.88
402,E,0.9407344708275791,0.016442300915251118,0.02638609395600583,0.7238027854323379,0.18009939140492226,237.92,0.3298,0.5062,0.6249
403,E,1.0,0.04463485606693716,0.036043068951958024,1.0,0.19437998496591488,260.32,0.3438,0.5229,0.99
404,E,0.935933037327433,0.0,0.014705202044734349,1.0,0.206783275916752,236.95,0.2899,0.486,0.8419
405,E,0.8992045460170378,0.0,0.1314562949598686,0.830453563714903,0.21859052128062487,229.53,0.2349,0.6879,0.6965
406,E,1.0,0.2311084708559461,0.012912589919737245,1.0,0.2360529700572042,299.93,0.4364,0.4829,0.8525
407,E,0.8901956707899598,0.19445814915875428,0.0937536141373488,0.809302152379534,0.2477140155601236,227.71,0.4182,0.6227,0.6823
408,E,0.7493701212238211,0.22305345509832153,0.02268521731085053,0.862031727117003,0.25708968411572053,199.26,0.4324,0.4998,0.7177
409,E,0.6876939754384404,0.12538638903712357,0.23062822381051512,0.7829373650107992,0.26546444593094365,186.8,0.3839,0.8594,0.6646
410,E,0.8815827900783575,0.2846743256441496,0.0448326509842019,0.9640649437700157,0.27698571794042404,225.97,0.463,0.5381,0.7862
411,E,0.6664092702316073,0.12619189061288594,0.0354648069761525,1.0,0.285015062501746,182.5,0.3843,0.5219,0.8289
412,E,1.0,0.4743699467362083,0.10196493419378716,0.949020630073732,0.300274070516812,272.5,0.5572,0.6369,0.7761
413,E,0.9152918232082486,0.00013089400606136256,0.08108967686720793,0.8749906903999407,0.31234238706095896,232.78,0.3217,0.6008,0.7264
414,E,0.9101438945070612,0.26936979570466285,0.0,1.0,0.32432716082741825,231.74,0.4554,0.399,0.8412
415,E,1.0,0.03819084346083754,0.0,0.8377522901616147,0.34000227613904416,277.68,0.3406,0.2317,0.7014
416,E,1.0,0.05349537340032422,0.0,0.8499664854397856,0.3556131277755257,276.88,0.3482,0.4001,0.7096
417,E,1.0,0.14512117764330373,0.031012189762449984,0.8665003351456023,0.3697571610268365,258.62,0.3937,0.5142,0.7207
418,E,0.7992159308593577,0.0,0.1918268452339648,0.8717137111789677,0.3799417485933135,209.33,0.2762,0.7923,0.7242
419,E,1.0,0.30219398491698296,0.13827978627437373,0.8587547478960305,0.39529634882515674,273.69,0.4717,0.6997,0.7155
420,E,0.9567227493899211,0.053293998006383625,0.0,0.9487227228718256,0.4080370240705019,241.15,0.3481,0.4144,0.7759
421,E,0.6433425897051327,0.24842675473483894,0.011409108782642901,0.9341252699784017,0.4156920327241078,177.84,0.445,0.4803,0.7661
422,E,0.9328640798324945,0.015435423945548046,0.10260102236717324,0.8535413718626648,0.42804551932670803,236.33,0.3293,0.638,0.712
